defect_type,P-AUROC,P-AUPR,AUPRO
AK,0.4316,0.0499,0.7169
BX,0.5027,0.0824,0.5186
CH,0.334,0.1014,0.4121
HS,0.3467,0.0324,0.5693
PS,0.3944,0.111,0.516
QS,0.3679,0.1451,0.5822
YW,,,
ZW,0.4074,0.1886,0.5859
