viewpoint,P-AUROC,P-AUPR,AUPRO
C1,0.3318,0.19,0.6526
C2,,,
C3,0.5275,0.0926,0.5289
C4,0.3731,0.1781,0.6099
C5,0.5291,0.089,0.5238
