defect_type,P-AUROC,P-AUPR,AUPRO
AK,0.58,0.0126,0.6701
BX,0.5122,0.0946,0.7087
CH,0.5712,0.0517,0.5258
HS,0.4683,0.0939,0.5291
PS,0.5391,0.0174,0.5046
QS,0.5252,0.0331,0.6312
YW,0.5721,0.0334,0.4657
ZW,0.5673,0.0419,0.5999
