viewpoint,P-AUROC,P-AUPR,AUPRO
C1,0.5551,0.2914,0.75
C2,0.4084,0.2448,0.7485
C3,0.4032,0.28,0.7663
C4,0.405,0.2479,0.7754
C5,0.405,0.3168,0.7596
