defect_type,AnomalyDINO,Dinomaly,INP-Former
AK,0.711398608439879,0.7179749577377704,0.6981905591670572
HS,0.7330700617929495,0.7151953506016937,0.7465000969555742
QS,0.7802058738104086,0.8601102051816567,0.8608585280259956
YW,0.8149326855219586,0.8182799910040559,0.8436465175614787
CH,0.8338713896042285,0.8940965998119539,0.905807283822461
ZW,0.8495502319735931,0.8666061038904189,0.8800532862203166
BX,0.8524041538288987,0.903162544286176,0.8897364931286327
PS,0.8850069881201956,0.8766491963661776,0.9006953179594688
OK,,,
