viewpoint,P-AUROC,P-AUPR,AUPRO
C1,0.5182,0.2548,0.7485
C2,0.3741,0.2211,0.7467
C3,0.3682,0.2359,0.7589
C4,0.368,0.2326,0.7764
C5,0.3703,0.2624,0.7561
