defect_type,P-AUROC,P-AUPR,AUPRO
AK,0.3677,0.1179,0.8098
BX,0.443,0.4314,0.9089
CH,0.4848,0.2451,0.7395
HS,0.3508,0.1326,0.7071
PS,0.3985,0.1781,0.7254
QS,0.3767,0.2293,0.7795
YW,0.4548,0.1824,0.5782
ZW,0.4047,0.2519,0.7544
