defect_type,P-AUROC,P-AUPR,AUPRO
AK,0.4079,0.1939,0.8056
BX,0.4581,0.5562,0.8987
CH,0.5196,0.2471,0.7359
HS,0.3932,0.165,0.7198
PS,0.4335,0.1855,0.7304
QS,0.411,0.2427,0.772
YW,0.4815,0.1905,0.6134
ZW,0.4399,0.2767,0.7555
