defect_type,P-AUROC,P-AUPR,AUPRO
AK,0.6324,0.1521,0.7801
BX,0.6338,0.2818,0.7541
CH,0.62,0.166,0.5705
HS,0.515,0.0757,0.6729
PS,0.6392,0.1484,0.6815
QS,0.549,0.2457,0.6744
YW,0.494,0.1342,0.618
ZW,0.5972,0.2502,0.6775
