viewpoint,P-AUROC,P-AUPR,AUPRO
C1,0.5167,0.263,0.7489
C2,0.4487,0.2195,0.7481
C3,0.5979,0.0265,0.4767
C4,0.6058,0.0772,0.6494
C5,0.5941,0.0588,0.4708
