viewpoint,P-AUROC,P-AUPR,AUPRO
C1,0.7197,0.1885,0.6512
C2,0.5265,0.1705,0.6567
C3,0.5555,0.1965,0.7066
C4,0.5423,0.2207,0.6912
C5,0.5525,0.1972,0.682
